"SampleID","Upper rhombic lip","Splatter","Lower rhombic lip","Mammillary body","Thalamic excitatory","Amygdala excitatory","Medium spiny neuron","Eccentric medium spiny neuron","Miscellaneous","Cerebellar inhibitory","Midbrain-derived inhibitory","CGE interneuron","LAMP5-LHX6 and Chandelier","MGE interneuron","Deep-layer near-projecting","Deep-layer corticothalamic and 6b","Hippocampal CA1-3","Upper-layer intratelencephalic","Deep-layer intratelencephalic","Hippocampal dentate gyrus","Hippocampal CA4","oligodendrocyte","astrocyte","Bergmann glial cell","oligodendrocyte precursor cell","ependymal cell","choroid plexus epithelial cell","fibroblast","pericyte","vascular associated smooth muscle cell","endothelial cell","central nervous system macrophage"
"GTEX-1122O-1126-SM-5NQ8X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462797595587209,0,0,0,0.537202404412791,0,0
"GTEX-1122O-1226-SM-5H113",0,0,0,0,0.0305348476641601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96946515233584,0,0,0,0,0,0
"GTEX-1122O-1326-SM-5H11F",0,0,0,0,0.0512352294781819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948764770521818,0,0,0,0,0,0
"GTEX-1122O-1426-SM-5H11R",0,0,0,0,0.0281885572159789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971811442784021,0,0,0,0,0,0
"GTEX-1122O-1526-SM-5N9CL",0,0,0,0,0.0501698399194157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949830160080584,0,0,0,0,0,0
"GTEX-1122O-1626-SM-5N9CX",0,0,0,0,0.0283212496913134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971678750308687,0,0,0,0,0,0
"GTEX-1122O-1726-SM-5GICM",0,0,0,0,0.0469409069030767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953059093096923,0,0,0,0,0,0
"GTEX-1122O-1826-SM-5EGIP",0,0,0,0,0.0235915734488454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976408426551155,0,0,0,0,0,0
"GTEX-1122O-1926-SM-5EGIQ",0,0,0,0,0.0441853120609574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955814687939043,0,0,0,0,0,0
"GTEX-1122O-2026-SM-9YFMG",0,0,0,0,0.0304855502393847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969514449760615,0,0,0,0,0,0
"GTEX-1122O-2126-SM-5EGIR",0,0,0,0,0.0366375500794501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96336244992055,0,0,0,0,0,0
"GTEX-1122O-2326-SM-9YFL9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446726915078133,0,0,0,0.553273084921868,0,0
